0,1,2,3
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,2.4107598472992593e-17,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,4.0722713724713752e-16,0.0,0.0
0.0,9.47769787829983e-13,0.0,0.0
0.0,9.26455909309573e-13,0.0,0.0
0.0,2.5724295904062383e-08,0.0,0.0
0.0,2.460484092824929e-07,0.0,0.0
3.4042473174412245e-10,0.00015454803275867618,3.022584767668606e-11,0.0
1.8245382985388527e-10,0.0,2.6243939861336608e-06,0.0
0.0,0.0,3.890804220000002e-08,-0.0490099501
1.1119588230918498e-06,0.004437032376146321,0.0,0.0
0.0,0.0,0.0,8.33492280744128e-07
0.0,0.0,0.0,3.4042473174412245e-10
0.0,0.0,0.0,0.0
0.0,1.0293954547884144e-10,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,6.802922349750716e-10,0.0,0.0
0.0,-0.058519850599,4.1434119418590005e-08,0.0
0.0,1.1738789165417776e-13,0.0,0.0
0.0,-0.29655230500043056,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,2.156796552371326e-16,-0.13994164535871148
0.0,8.566297479000005e-17,6.452579169200181e-12,0.0
0.0,0.0,4.503733238151458e-14,0.0
0.0,2.9441028594171966e-11,-0.06793465209301,0.0
0.0,0.0,0.0,0.0
0.0,-0.07725530557207991,0.0,0.0
0.0,-0.058519850599,0.0,0.0
0.0,8.520126011406473e-09,1.2165683604984905e-09,-0.06793465209301
-0.0490099501,1.9486826100000004e-08,1.2224843617761004e-07,0.0
0.0,0.0,0.0,0.0
-0.058519850599,0.0,0.0,0.0
0.0,-0.0199,0.000611188394408486,0.0
0.0,2.1652029000000004e-06,-0.029701,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-0.029701,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,6.4436873517e-08,0.0
0.0,0.0,0.0002775322838984704,0.0
0.0,1.9667583694150513e-06,0.0,0.0
0.0,0.0,0.025297397179860136,0.0
-0.03940399,0.0018655266472663312,1.2706706575142839,0.0
-0.03940399,0.0,0.0,0.0
0.0,0.11336519734463872,-0.029701,2.9935611807028574e-07
0.0007886421486561911,1.8835810460007822,0.0,-0.0199
0.008640235213861772,0.0778344772647232,22.995685419484467,0.014965137044741814
-0.0199,1.0,0.0,0.0
